key,idx,skill,truth,classified,match,pass,nblobs,narrow_w,b0_w,b0_h,b0_fill,b1_w,b1_h,b1_fill
Yanagi,11,chain,11,11,OK,lo,2,48,41,63,0.608,40,63,0.613
OrphieMagus,12,basic,7,1,MISS,hi,2,48,60,62,0.664,45,62,0.434
OrphieMagus,12,basic,7,1,MISS,lo,2,48,64,62,0.723,46,63,0.499
OrphieMagus,12,dodge,7,7,OK,hi,2,48,60,61,0.675,55,62,0.396
OrphieMagus,12,dodge,7,7,OK,lo,2,48,63,62,0.735,58,63,0.444
OrphieMagus,12,assist,11,11,OK,hi,2,48,39,62,0.543,38,62,0.556
OrphieMagus,12,assist,11,11,OK,lo,2,48,40,63,0.613,41,62,0.618
OrphieMagus,12,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
OrphieMagus,12,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
OrphieMagus,12,chain,11,11,OK,hi,2,48,37,62,0.571,39,62,0.541
OrphieMagus,12,chain,11,11,OK,lo,2,48,41,63,0.608,40,63,0.613
Soldier0Anby,13,basic,11,11,OK,hi,2,48,39,62,0.57,38,62,0.583
Soldier0Anby,13,basic,11,11,OK,lo,2,48,41,63,0.623,41,63,0.621
Soldier0Anby,13,dodge,1,1,OK,hi,2,48,60,62,0.698,38,62,0.585
Soldier0Anby,13,dodge,1,1,OK,lo,2,48,65,63,0.721,41,63,0.621
Soldier0Anby,13,assist,11,11,OK,hi,2,48,39,62,0.566,38,62,0.585
Soldier0Anby,13,assist,11,11,OK,lo,2,48,41,63,0.612,41,63,0.624
Soldier0Anby,13,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Soldier0Anby,13,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Soldier0Anby,13,chain,11,11,OK,hi,2,48,38,62,0.583,39,62,0.566
Soldier0Anby,13,chain,11,11,OK,lo,2,48,42,63,0.605,41,63,0.611
Burnice,14,basic,8,8,OK,hi,0,48,,,,,,
Burnice,14,basic,8,8,OK,lo,2,48,62,62,0.71,46,62,0.795
Burnice,14,dodge,7,7,OK,hi,0,48,,,,,,
Burnice,14,dodge,7,7,OK,lo,2,48,63,62,0.7,57,62,0.431
Burnice,14,assist,11,11,OK,hi,0,48,,,,,,
Burnice,14,assist,11,11,OK,lo,2,48,40,62,0.59,39,62,0.613
Burnice,14,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Burnice,14,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Burnice,14,chain,12,12,OK,hi,2,48,40,62,0.609,66,62,0.606
Burnice,14,chain,12,12,OK,lo,2,48,41,63,0.645,68,63,0.637
Caesar,15,basic,3,5,MISS,hi,0,48,,,,,,
Caesar,15,basic,3,5,MISS,lo,2,48,62,62,0.706,48,62,0.649
Caesar,15,dodge,1,1,OK,hi,0,48,,,,,,
Caesar,15,dodge,1,1,OK,lo,2,48,62,62,0.713,39,62,0.607
Caesar,15,assist,12,12,OK,hi,2,48,40,62,0.614,66,62,0.605
Caesar,15,assist,12,12,OK,lo,2,48,42,63,0.637,68,63,0.637
Caesar,15,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Caesar,15,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Caesar,15,chain,11,11,OK,hi,0,48,,,,,,
Caesar,15,chain,11,11,OK,lo,2,48,40,62,0.59,39,62,0.598
Dialyn,16,basic,11,11,OK,hi,2,48,32,56,0.428,32,61,0.427
Dialyn,16,basic,11,11,OK,lo,2,48,41,62,0.603,40,62,0.616
Dialyn,16,dodge,7,7,OK,hi,2,48,58,56,0.487,53,61,0.268
Dialyn,16,dodge,7,7,OK,lo,2,48,63,62,0.718,58,62,0.439
Dialyn,16,assist,11,11,OK,hi,2,48,34,56,0.445,32,56,0.432
Dialyn,16,assist,11,11,OK,lo,2,48,40,62,0.606,41,62,0.603
Dialyn,16,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
Dialyn,16,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
Dialyn,16,chain,11,11,OK,hi,2,48,32,61,0.429,34,56,0.443
Dialyn,16,chain,11,11,OK,lo,2,48,40,62,0.615,40,62,0.606
Qingyi,17,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Qingyi,17,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Qingyi,17,dodge,5,5,OK,hi,2,48,61,62,0.67,61,62,0.609
Qingyi,17,dodge,5,5,OK,lo,2,48,64,62,0.727,65,62,0.678
Qingyi,17,assist,8,8,OK,hi,2,48,60,62,0.684,60,62,0.676
Qingyi,17,assist,8,8,OK,lo,2,48,64,62,0.731,65,62,0.718
Qingyi,17,special,10,10,OK,hi,2,48,39,62,0.554,60,62,0.685
Qingyi,17,special,10,10,OK,lo,2,48,40,63,0.616,65,62,0.723
Qingyi,17,chain,8,8,OK,hi,2,48,61,62,0.674,60,62,0.672
Qingyi,17,chain,8,8,OK,lo,2,48,64,62,0.732,63,62,0.738
ZhuYuan,18,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
ZhuYuan,18,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
ZhuYuan,18,dodge,11,11,OK,hi,0,48,,,,,,
ZhuYuan,18,dodge,11,11,OK,lo,2,48,39,62,0.582,38,62,0.601
ZhuYuan,18,assist,11,11,OK,hi,0,48,,,,,,
ZhuYuan,18,assist,11,11,OK,lo,2,48,39,62,0.578,39,62,0.584
ZhuYuan,18,special,12,12,OK,hi,2,48,40,62,0.608,67,62,0.597
ZhuYuan,18,special,12,12,OK,lo,2,48,42,63,0.628,69,63,0.629
ZhuYuan,18,chain,12,12,OK,hi,2,48,40,62,0.609,66,62,0.606
ZhuYuan,18,chain,12,12,OK,lo,2,48,41,63,0.645,68,63,0.637
Trigger,20,basic,12,12,OK,hi,2,48,41,62,0.606,62,62,0.629
Trigger,20,basic,12,12,OK,lo,2,48,43,63,0.628,63,63,0.667
Trigger,20,dodge,10,10,OK,hi,2,48,37,62,0.585,61,62,0.668
Trigger,20,dodge,10,10,OK,lo,2,48,41,63,0.614,64,62,0.726
Trigger,20,assist,10,10,OK,hi,2,48,38,62,0.571,60,62,0.682
Trigger,20,assist,10,10,OK,lo,2,48,41,62,0.618,64,62,0.73
Trigger,20,special,11,11,OK,hi,2,48,38,62,0.568,38,62,0.569
Trigger,20,special,11,11,OK,lo,2,48,41,63,0.605,40,63,0.62
Trigger,20,chain,11,11,OK,hi,2,48,37,62,0.583,39,62,0.552
Trigger,20,chain,11,11,OK,lo,2,48,41,63,0.611,41,63,0.602
Pulchra,21,basic,8,8,OK,hi,0,48,,,,,,
Pulchra,21,basic,8,8,OK,lo,2,48,62,62,0.692,50,62,0.728
Pulchra,21,dodge,5,5,OK,hi,0,48,,,,,,
Pulchra,21,dodge,5,5,OK,lo,2,48,61,62,0.703,63,62,0.627
Pulchra,21,assist,15,12,MISS,hi,0,48,,,,,,
Pulchra,21,assist,15,12,MISS,lo,2,48,39,62,0.591,63,62,0.626
Pulchra,21,special,15,12,MISS,hi,0,48,,,,,,
Pulchra,21,special,15,12,MISS,lo,2,48,39,62,0.585,63,62,0.629
Pulchra,21,chain,14,12,MISS,hi,0,48,,,,,,
Pulchra,21,chain,14,12,MISS,lo,2,48,39,62,0.586,62,62,0.611
Lucy,22,basic,8,8,OK,hi,0,48,,,,,,
Lucy,22,basic,8,8,OK,lo,2,48,62,62,0.716,50,62,0.763
Lucy,22,dodge,5,5,OK,hi,0,48,,,,,,
Lucy,22,dodge,5,5,OK,lo,2,48,63,62,0.708,63,62,0.658
Lucy,22,assist,5,5,OK,hi,0,48,,,,,,
Lucy,22,assist,5,5,OK,lo,2,48,62,62,0.723,64,62,0.654
Lucy,22,special,15,12,MISS,hi,0,48,,,,,,
Lucy,22,special,15,12,MISS,lo,2,48,40,62,0.595,64,62,0.653
Lucy,22,chain,5,5,OK,hi,0,48,,,,,,
Lucy,22,chain,5,5,OK,lo,2,48,63,62,0.712,64,62,0.655
Anton,23,basic,15,10,MISS,hi,0,48,,,,,,
Anton,23,basic,15,10,MISS,lo,2,48,39,62,0.618,62,62,0.67
Anton,23,dodge,8,8,OK,hi,0,48,,,,,,
Anton,23,dodge,8,8,OK,lo,2,48,63,62,0.704,63,62,0.7
Anton,23,assist,8,8,OK,hi,0,48,,,,,,
Anton,23,assist,8,8,OK,lo,2,48,62,62,0.718,63,62,0.704
Anton,23,special,15,12,MISS,hi,0,48,,,,,,
Anton,23,special,15,12,MISS,lo,2,48,40,62,0.592,64,62,0.65
Anton,23,chain,15,12,MISS,hi,0,48,,,,,,
Anton,23,chain,15,12,MISS,lo,2,48,39,62,0.607,64,62,0.653
Rina,24,basic,6,8,MISS,hi,2,48,61,62,0.669,50,62,0.695
Rina,24,basic,6,8,MISS,lo,2,48,64,62,0.727,51,62,0.784
Rina,24,dodge,3,5,MISS,hi,2,48,61,62,0.67,62,62,0.554
Rina,24,dodge,3,5,MISS,lo,2,48,64,62,0.727,64,62,0.618
Rina,24,assist,11,11,OK,hi,2,48,39,62,0.553,38,62,0.57
Rina,24,assist,11,11,OK,lo,2,48,40,63,0.617,41,63,0.615
Rina,24,special,11,11,OK,hi,2,48,38,62,0.569,38,62,0.57
Rina,24,special,11,11,OK,lo,2,48,41,63,0.605,40,63,0.621
Rina,24,chain,11,11,OK,hi,2,48,37,62,0.584,39,62,0.553
Rina,24,chain,11,11,OK,lo,2,48,41,63,0.611,41,63,0.602
Nicole,25,basic,11,11,OK,hi,2,48,37,62,0.58,37,62,0.579
Nicole,25,basic,11,11,OK,lo,2,48,41,63,0.612,41,63,0.61
Nicole,25,dodge,11,11,OK,hi,2,48,38,62,0.567,37,62,0.581
Nicole,25,dodge,11,11,OK,lo,2,48,40,62,0.631,41,63,0.614
Nicole,25,assist,12,12,OK,hi,2,48,38,62,0.567,64,62,0.55
Nicole,25,assist,12,12,OK,lo,2,48,41,62,0.616,66,63,0.608
Nicole,25,special,12,12,OK,hi,2,48,38,62,0.564,63,62,0.56
Nicole,25,special,12,12,OK,lo,2,48,40,63,0.615,67,62,0.612
Nicole,25,chain,10,10,OK,hi,2,48,38,62,0.564,60,62,0.682
Nicole,25,chain,10,10,OK,lo,2,48,41,63,0.6,64,62,0.733
Anby,26,basic,13,12,MISS,hi,2,48,35,61,0.504,59,59,0.432
Anby,26,basic,13,12,MISS,lo,2,48,41,62,0.607,59,62,0.646
Anby,26,dodge,11,11,OK,hi,2,48,34,56,0.548,32,57,0.559
Anby,26,dodge,11,11,OK,lo,2,48,40,62,0.616,40,62,0.623
Anby,26,assist,11,11,OK,hi,2,48,35,57,0.53,33,56,0.562
Anby,26,assist,11,11,OK,lo,2,48,40,62,0.609,41,62,0.607
Anby,26,special,13,12,MISS,hi,2,48,35,57,0.527,57,61,0.471
Anby,26,special,13,12,MISS,lo,2,48,40,62,0.608,63,62,0.616
Anby,26,chain,11,11,OK,hi,2,48,34,61,0.526,34,57,0.545
Anby,26,chain,11,11,OK,lo,2,48,40,62,0.618,40,62,0.609
Ben,28,basic,7,1,MISS,hi,2,48,61,62,0.678,45,62,0.455
Ben,28,basic,7,1,MISS,lo,2,48,64,63,0.72,47,63,0.499
Ben,28,dodge,7,7,OK,hi,2,48,61,62,0.68,55,62,0.416
Ben,28,dodge,7,7,OK,lo,2,48,64,63,0.722,58,63,0.452
Ben,28,assist,8,8,OK,hi,2,48,60,62,0.694,60,62,0.692
Ben,28,assist,8,8,OK,lo,2,48,64,63,0.724,64,63,0.718
Ben,28,special,12,12,OK,hi,2,48,39,62,0.563,65,62,0.56
Ben,28,special,12,12,OK,lo,2,48,40,63,0.622,67,63,0.613
Ben,28,chain,7,7,OK,hi,2,48,61,62,0.686,55,62,0.414
Ben,28,chain,7,7,OK,lo,2,48,65,63,0.714,59,63,0.444
